         1731171 function calls (1687584 primitive calls) in 168.502 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(ParserWarning)
        4    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1233(_initialize)
        2    0.000    0.000    0.000    0.000 __init__.py:1237(setLoggerClass)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1250(getLoggerClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
       15    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
       16    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.706    0.706 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:140(dynamic_wildcard_import)
       14    0.000    0.000    0.001    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
        1    0.000    0.000    0.001    0.001 __init__.py:1436(warning)
        1    0.000    0.000    0.000    0.000 __init__.py:145(<listcomp>)
      643    0.001    0.000    0.001    0.000 __init__.py:1485(log)
        1    0.000    0.000    0.000    0.000 __init__.py:149(<dictcomp>)
       39    0.006    0.000  341.288    8.751 __init__.py:15(<module>)
       22    0.000    0.000    0.002    0.000 __init__.py:152(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1538(makeRecord)
        1    0.000    0.000    0.001    0.001 __init__.py:1553(_log)
        1    0.000    0.000    0.001    0.001 __init__.py:1579(handle)
        3    0.000    0.000    0.000    0.000 __init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:159(<listcomp>)
        5    0.000    0.000    2.247    0.449 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:161(_VerbosityFlag)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:163(MergeError)
        1    0.000    0.000    0.001    0.001 __init__.py:1633(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:164(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        3    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:167(<listcomp>)
      645    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
        1    0.000    0.000    0.131    0.131 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:174(value)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:176(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:179(_update_logging_levels)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
        1    0.000    0.000    0.000    0.000 __init__.py:183(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
       22    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    1.165    1.165 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:19(get_keras_submodule)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        7    0.000    0.000    6.445    0.921 __init__.py:2(<module>)
        1    0.000    0.000    0.176    0.176 __init__.py:20(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:203(_LoggerLevelsFlag)
        1    0.000    0.000    0.000    0.000 __init__.py:205(DuplicateLabelError)
        6    0.000    0.000    0.000    0.000 __init__.py:206(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:206(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
       31    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:2151(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:216(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:220(value)
       31    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(_update_logger_levels)
        1    0.000    0.000    0.000    0.000 __init__.py:226(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:232(_LoggerLevelsParser)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.070    0.070 __init__.py:234(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:235(parse)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:242(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        4    0.000    0.000    0.000    0.000 __init__.py:244(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(_LoggerLevelsSerializer)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:254(serialize)
        1    0.000    0.000    0.000    0.000 __init__.py:257(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
        2    0.000    0.000    1.859    0.929 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_StderrthresholdFlag)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:264(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
        1    0.000    0.000    0.008    0.008 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:274(value)
        1    0.000    0.000    0.000    0.000 __init__.py:278(VersionAwareLayers)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:28(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:284(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        3    0.000    0.000    0.020    0.007 __init__.py:299(loads)
      474    0.020    0.000   76.639    0.162 __init__.py:3(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:306(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
      456    0.025    0.000    0.065    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.357    0.357 __init__.py:32(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:323(<listcomp>)
        1    0.001    0.001    0.001    0.001 __init__.py:326(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:33(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:334(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:34(DummyProcess)
        1    0.000    0.000    0.000    0.000 __init__.py:36(UnsortedIndexError)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:360(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FuncPtr)
        7    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        1    0.000    0.000    0.001    0.001 __init__.py:38(populate_deserializable_objects)
     1916    0.001    0.000    0.001    0.000 __init__.py:385(<genexpr>)
       14    0.000    0.000    0.003    0.000 __init__.py:393(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.032    0.032 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:400(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:404(PyDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:414(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:423(usesTime)
        1    0.000    0.000    0.000    0.000 __init__.py:425(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(_running_from_pip_package)
        3    0.000    0.000    0.000    0.000 __init__.py:426(validate)
       12    0.000    0.000    0.000    0.000 __init__.py:427(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:43(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        6    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:431(_format)
