,iteracao,tempo,valor_loss,lb,ld,lr,learning_rate
3287,328700.0,2.755826711654663,7.105300028342754e-06,3.0891125768484073e-10,6.062384727556491e-08,5.589395186689217e-06,3.675237167044543e-05
3288,328800.0,2.7432453632354736,6.470182597695384e-06,3.178894703026458e-09,5.850052531286565e-08,5.00449050377938e-06,3.671545346151106e-05
3289,328900.0,2.749166488647461,1.2588323443196714e-05,8.941691831410026e-10,2.8699631116069213e-07,5.412521659309277e-06,3.667857890832238e-05
3290,329000.0,2.815075159072876,7.131516667868709e-06,1.5234900840876975e-10,2.1463836930024627e-08,6.594768365175696e-06,3.6641733458964154e-05
3291,329100.0,2.700518846511841,5.390540991356829e-06,4.2308698211535045e-10,6.049884593295474e-09,5.23887092640507e-06,3.6604924389394e-05
3292,329200.0,2.5504279136657715,6.827895504102344e-06,1.814405153899301e-10,8.853299959810101e-08,4.6143891268002335e-06,3.656815169961192e-05
3293,329300.0,2.6389174461364746,4.7042967707966454e-06,2.1503405722711477e-09,8.966613562755299e-10,4.679729954659706e-06,3.6531415389617905e-05
3294,329400.0,2.577310800552368,5.436976607597899e-06,5.999972962911215e-09,2.0314925297526543e-09,5.380189577408601e-06,3.6494726373348385e-05
3295,329500.0,2.5515382289886475,4.995535618945723e-06,6.021613208062604e-10,3.56543750079652e-09,4.905797595711192e-06,3.645806646090932e-05
3296,329600.0,2.6296520233154297,1.368665925838286e-05,3.572199480661453e-10,3.3752962735889014e-07,5.248060460871784e-06,3.642143929027952e-05
3297,329700.0,2.6919260025024414,6.508832939289277e-06,3.6437661221633277e-10,5.5237574514421794e-08,5.127529220771976e-06,3.63848521374166e-05
3298,329800.0,2.5639607906341553,7.192892553575803e-06,1.7882090252996363e-09,6.371633531898624e-08,5.598195912170922e-06,3.634830136434175e-05
3299,329900.0,2.549041986465454,5.168127245269716e-06,8.290763631180198e-10,1.7454759859703017e-09,5.1236611398053356e-06,3.6311794247012585e-05
3300,330000.0,2.561283588409424,1.2158771824033465e-05,7.982290384234147e-10,2.6717347623161913e-07,5.4786364671599586e-06,3.627531623351388e-05
3301,330100.0,2.714282989501953,9.183621841657441e-06,3.498444423044589e-09,1.4517631541366427e-07,5.550715286517516e-06,3.623887459980324e-05
3302,330200.0,2.5555803775787354,1.2545840036182199e-05,1.1837066882236513e-09,2.6694587518250046e-07,5.8710097619041335e-06,3.620246934588067e-05
3303,330300.0,2.6368699073791504,1.1509814612509217e-05,1.056695175805089e-09,2.3520097158780118e-07,5.628733561025001e-06,3.6166104109724984e-05
3304,330400.0,2.5521135330200195,6.364564342220547e-06,2.42838610331475e-10,4.796069319468188e-08,5.165304173715413e-06,3.612978252931498e-05
3305,330500.0,2.5739214420318604,7.104539236024721e-06,3.0217743862692714e-09,4.488598293050927e-08,5.979367870168062e-06,3.6093486414756626e-05
3306,330600.0,2.556619644165039,5.759255145676434e-06,9.458511751603282e-10,1.4681428517349104e-08,5.391273589339107e-06,3.605722667998634e-05
3307,330700.0,2.5565435886383057,6.122877039160812e-06,1.4854104612993524e-09,7.165775084416737e-09,5.942247298662551e-06,3.602100332500413e-05
3308,330800.0,2.555769205093384,6.998119715717621e-06,3.4285756456142735e-09,9.089782082583042e-08,4.722245648736134e-06,3.598481634980999e-05
3309,330900.0,2.619868278503418,5.325402526068501e-06,1.0378296000368437e-09,1.8013553981788277e-09,5.279330707708141e-06,3.594868030631915e-05
